lat,lon,elev_meters
30.06682381,-95.62310109,48.23
30.0806,-95.9908,73.06
30.0806,-95.9908,73.06
30.0806,-95.9908,73.06
30.0632,-95.9087,84.92
29.8379,-95.4888,24.13
29.8669,-95.5408,28.08
29.9007,-95.5993,36.08
29.9031,-95.6026,36.39
29.8795,-95.569,28.51
30.0573,-95.8911,81.02
29.9629,-95.6878,43.51
29.9629,-95.6878,43.51
29.83293,-95.1752,11.37
29.8297,-95.1824,10.79
29.93630994,-95.03167518,16.09
29.601591,-95.684453,24.35
29.627269,-95.5827,24.24
29.532909000000004,-96.055298,28.8
29.532909000000004,-96.055298,28.8
29.601591,-95.684453,24.35
29.723540000000003,-95.49154,19.49
29.7262465,-95.46252,16.21
29.72629294,-95.46037975,17.44
29.725403000000004,-95.468258,17.5
29.721239,-95.520294,19.98
29.718322,-95.557403,15.57
29.719672,-95.539047,23.1
29.7262465,-95.46252,16.21
